太宰府天満宮,〒818-0117　福岡県太宰府市宰府4-7-1観光
観光農園（イチゴ狩り）,〒834-0104　福岡県八女郡広川町大字吉常15-3-2観光
久留米カントリークラブ,〒834-0105　福岡県八女郡広川町長延1243-1観光
筑後の森テニスクラブ,〒834-0115　福岡県八女郡広川町大字新代観光
逆瀬谷薬師堂,〒834-0102　福岡県八女郡広川町水原観光
竜光寺公園,〒834-0111　福岡県八女郡広川町大字日吉観光
グリートパーク,〒834-0111　福岡県八女郡広川町大字日吉観光
石人山古墳,〒834-0122　福岡県八女郡広川町一条観光
弘化谷古墳,〒834-0121　福岡県八女郡広川町大字広川観光
広川町観光協会,〒834-0111　福岡県八女郡広川町大字日吉1164-6観光
立花バンブー株式会社,〒834-0082　福岡県八女市立花町兼松752-1観光
大道谷の里,〒834-0084　福岡県八女市立花町白木4578-1観光
Dokomo田中さんちの農園,〒834-0084　福岡県八女市立花町白木4346-2観光
飛形自然公園,〒834-0084　福岡県八女市立花町白木地内観光
黒岩橋,〒834-0083　福岡県八女市立花町上辺春黒岩観光
白城の里旧大内邸,〒834-0084　福岡県八女市立花町白木3245番地観光
松延家住宅,〒834-0082　福岡県八女市立花町兼松240観光
ほたると石橋の館,〒834-1102　福岡県八女市上陽町北川内589-2観光
八女上陽ゴルフ倶楽部,〒834-1102　福岡県八女市上陽町北川内2914-1観光
大伴部博麻公碑,〒834-0001　福岡県八女市室園（北川内公園内）観光
北川内公園,〒834-0001　福岡県八女市室園観光
春の山公園,〒834-1102　福岡県八女市上陽町北川内観光
洗玉橋,〒834-0001　福岡県八女市星野川観光
星野川,〒834-1102　福岡県八女市上陽町北川内観光
滝の宮（縁結び不動尊）,〒834-0001　福岡県八女市上陽町納又観光
お茶の里記念館,〒834-1222　福岡県八女市黒木町笠原観光
木造聖観音立像,〒834-1203　福岡県八女市黒木町北木屋観光
八女茶発祥の地お茶の里公園,〒834-1222　福岡県八女市黒木町笠原観光
霊巌寺,〒834-1222　福岡県八女市黒木町笠原観光
黒木稲荷神社,〒834-1221　福岡県八女市黒木町今観光
明治の館,〒834-1204　福岡県八女市黒木町木屋観光
旧伊佐邸,〒834-1204　福岡県八女市黒木町木屋観光
学びの館,〒834-1221　福岡県八女市黒木町今観光
霊巌寺の奇岩,〒834-1222　福岡県八女市黒木町笠原観光
日向神渓谷,〒834-1202　福岡県八女市黒木町大渕観光
黒木町観光協会,〒834-1292　福岡県八女市黒木町今1314番1（八女市役所黒木総合支所産業経済課内）観光
十連寺公園,〒830-0112　福岡県久留米市三潴町西牟田6557-44観光
みづまの黒松,〒830-0111　福岡県久留米市観光
クリークの里石丸山公園,〒830-0416　福岡県三潴郡大木町大字大角観光
城島リバーサイドゴルフ場,〒830-0203　福岡県久留米市城島町大字浜293観光
酒造壁画,〒830-0211　福岡県久留米市城島町楢津764（町民の森公園）観光
法林寺宝篋印塔,〒830-0225　福岡県久留米市城島町下青木542観光
西光寺の木造阿弥陀三尊像,〒830-1211　福岡県三井郡大刀洗町本郷
床島堰,〒830-1203　福岡県三井郡大刀洗町三川観光
大刀洗公園,〒830-1226　福岡県三井郡大刀洗町山隈1598-5観光
大堰神社,〒830-1201　福岡県三井郡大刀洗町冨多観光
三原城址,〒830-1211　福岡県三井郡大刀洗町本郷観光
コスモスパーク北野,〒830-1114　福岡県久留米市北野町高良724-1観光
コスモス街道,〒830-1122　福岡県久留米市北野町観光
北野天満宮の大樟,〒830-1113　福岡県久留米市北野町中3267観光
うきは市立浮羽歴史民俗資料館,〒839-1401　福岡県うきは市朝田560-1観光
巨峰狩り,〒839-1401　福岡県うきは市浮羽町一帯観光
梨狩り,〒839-1408　福岡県うきは市浮羽町一帯観光
長岩公園,〒839-1413　福岡県うきは市浮羽町新川3020観光
保木公園,〒839-1408　福岡県うきは市浮羽町山北1146-1観光
大生寺,〒839-1411　福岡県うきは市浮羽町流川観光
朝田古墳群,〒839-1401　福岡県うきは市浮羽町朝田観光
塚花塚古墳,〒839-1401　福岡県うきは市浮羽町朝田1235-2観光
楠名古墳,〒839-1401　福岡県うきは市浮羽町朝田669観光
重定古墳,〒839-1401　福岡県うきは市浮羽町朝田681-1観光
平川家住宅,〒839-1414　福岡県うきは市浮羽町田篭３８３観光
みかん狩り,〒839-1211　福岡県久留米市田主丸町森部観光
ぶどう狩り,〒839-1233　福岡県久留米市田主丸町一帯観光
柿狩り,〒839-1233　福岡県久留米市田主丸町一帯観光
田主丸ふるさと会館,〒839-1233　福岡県久留米市田主丸町田主丸2000観光
石垣山観音寺,〒839-1212　福岡県久留米市田主丸町石垣271-8観光
平原古墳群,〒839-1211　福岡県久留米市田主丸町森部　田主丸平原古墳公園内観光
寺徳古墳,〒839-1213　福岡県久留米市田主丸町益生田観光
うきは市観光協会,〒839-1321　福岡県うきは市吉井町1043-2観光
吉井温泉,〒839-1304　福岡県うきは市吉井町千年観光
金子文夫資料展示館,〒839-1321　福岡県うきは市吉井町1316-3観光
うきは市立吉井歴史民俗資料館,〒839-1321　福岡県うきは市吉井町983-1観光
柿狩り,〒839-1321　福岡県うきは市吉井町耳納山麓一帯観光
屋部地蔵公園,〒839-1331　福岡県うきは市吉井町屋部観光
長野水神社,〒839-1301　福岡県うきは市吉井町桜井208-1観光
日岡古墳,〒839-1311　福岡県うきは市吉井町若宮366-1観光
月岡古墳,〒839-1311　福岡県うきは市吉井町若宮366-1観光
鳥船塚古墳,〒839-1333　福岡県うきは市吉井町富永観光
珍敷塚古墳,〒839-1333　福岡県うきは市吉井町富永649-3観光
古畑古墳,〒839-1333　福岡県うきは市吉井町富永観光
居蔵の館,〒839-1321　福岡県うきは市吉井町1103-1観光
鏡田屋敷,〒839-1321　福岡県うきは市吉井町若宮113-1観光
延寿寺曽根のハゼ並木,〒839-1332　福岡県うきは市吉井町東延寿寺観光
筑後吉井のぼたん園（喜笙園）,〒839-1305　福岡県うきは市吉井町福永166-2観光
芥屋ふれあい市,〒819-1335　福岡県糸島市志摩岐志911　(旧ＪＡ糸島芥屋支店）観光
小富士物産直売所「愛菜」,〒819-1321　福岡県糸島市志摩小富士947観光
芥屋の大門周遊遊覧船,〒819-1335　福岡県糸島郡志摩町芥屋520観光
志摩町歴史資料館,〒819-1312　福岡県糸島郡志摩町初1番地観光
新町遺跡展示館,〒819-1333　福岡県糸島市志摩新町観光
地引網（志摩）,〒819-1333　福岡県糸島市志摩新町476-1観光
姫島,〒819-1336　福岡県糸島市志摩姫島観光
大門自然歩道,〒819-1301　福岡県糸島市志摩芥屋
立石山自然歩道,〒819-1301　福岡県糸島市
志摩シーサイドカンツリークラブ,〒819-1303　福岡県糸島市志摩野北575観光
芥屋ゴルフ倶楽部,〒819-1335　福岡県糸島市芥屋1-1観光
芥屋野営場,〒819-1335　福岡県糸島市志摩芥屋2564観光
西林寺,〒819-1322　福岡県糸島市志摩御床355観光
小富士梅林,〒819-1321　福岡県糸島市志摩小富士観光
六所神社の大樟,〒819-1305　福岡県糸島市志摩馬場観光
幣の浜海岸,〒819-1323　福岡県糸島市志摩小金丸観光
立石山,〒819-1301　福岡県糸島市志摩芥屋観光
観光協会志摩本所,〒819-1312　福岡県糸島市志摩初２６-１観光
深江地引網,〒819-1613　福岡県糸島市二丈深江観光
深江海水浴場,〒819-1601　福岡県糸島市二丈深江観光
龍国寺,〒819-1626　福岡県糸島市二丈波呂474観光
鎮懐石八幡宮,〒819-1601　福岡県糸島市二丈深江2143-1観光
浮嶽神社,〒819-1641　福岡県糸島市二丈吉井観光
銚子塚古墳,〒819-1615　福岡県糸島市二丈田中観光
千寿院の滝,〒819-1624　福岡県糸島市二丈満吉観光
観光協会二丈支所,〒819-1642　福岡県糸島市二丈鹿家844-13観光
行者杉・行者堂,〒838-1601　福岡県朝倉郡東峰村大字小石原観光
岩屋神社,〒838-1701　福岡県朝倉郡東峰村大字宝珠山観光
山村文化交流の郷　いぶき館,〒838-1702　福岡県朝倉郡東峰村大字福井2296-1観光
農産物直売所「いちご」,〒838-0802　福岡県朝倉郡筑前町久光915-1観光
朝採り市場「とまと」,〒838-0214　福岡県朝倉郡筑前町東小田1650-1観光
炭焼池公園,〒838-0206　福岡県朝倉郡筑前町曽根田1179観光
曽根田親水公園,〒838-0206　福岡県朝倉郡筑前町曽根田640-1観光
安の里公園,〒838-0215　福岡県朝倉郡筑前町篠隈673-1観光
藤の里公園,〒838-0821　福岡県朝倉郡筑前町上高場1793-1観光
焼ノ峠古墳,〒838-0212　福岡県朝倉郡筑前町四三嶋239-115観光
仙道古墳,〒838-0802　福岡県朝倉郡筑前町久光106観光
釈迦岳温泉,〒838-1701　福岡県朝倉郡東峰村大字宝珠山１１観光
釈迦岳遊歩道,〒838-1700　福岡県朝倉郡東峰村
岩屋自然歩道,〒838-1700　福岡県朝倉郡東峰村
岩屋キャンプ場,〒838-1701　福岡県朝倉郡東峰村大字宝珠山4171観光
岩屋公園,〒838-1701　福岡県朝倉郡東峰村大字宝珠山観光
岩屋の玄海ツツジ,〒838-1701　福岡県朝倉郡東峰村岩屋観光
岩屋公園(国定),〒838-1701　福岡県朝倉郡東峰村大字宝珠山観光
釈迦ヶ岳,〒838-1701　福岡県朝倉郡東峰村大字宝珠山観光
小石原焼伝統産業会館,〒838-1601　福岡県朝倉郡東峰村大字小石原字皿山観光
森林浴遊歩道,〒838-1700　福岡県朝倉郡東峰村
ポーン太の森キャンプ場,〒838-1602　福岡県朝倉郡東峰村大字小石原鼓観光
馬見山,〒838-0012　福岡県朝倉郡東峰村大字小石原観光
国立夜須高原青少年自然の家,〒838-0202　福岡県朝倉郡筑前町三箇山 1103観光
五玉神社,〒838-0202　福岡県朝倉郡筑前町三箇山1144-1観光
夜須高原,〒838-0201　福岡県朝倉郡筑前町観光
秋の田句碑,〒838-0000　福岡県朝倉市山田166
朝倉町総合運動公園,〒838-1302　福岡県朝倉市宮野観光
木の丸公園,〒838-1306　福岡県朝倉市山田観光
宮地嶽公園,〒838-1301　福岡県朝倉市宮野観光
橘の広庭公園,〒838-1304　福岡県朝倉市須川観光
南淋寺,〒838-1302　福岡県朝倉市宮野87観光
恵蘇八幡宮,〒838-1306　福岡県朝倉市山田１６６観光
橘広庭宮跡,〒838-1304　福岡県朝倉市須川観光
堀川用水及び朝倉揚水車,〒838-1307　福岡県朝倉市菱野観光
長安寺廃寺跡,〒838-1304　福岡県朝倉市須川観光
隠家森,〒838-1306　福岡県朝倉市恵蘇宿観光
巨峰狩,〒838-1521　福岡県朝倉市杷木志波観光
柿狩,〒838-1521　福岡県朝倉市杷木志波観光
大手山2000年公園,〒838-1514　福岡県朝倉市杷木古賀1164-1観光
普門院,〒838-1521　福岡県朝倉市杷木志波5376観光
杷木神篭石,〒838-1506　福岡県朝倉市林田観光
円清寺の「銅鐘」,〒838-1521　福岡県朝倉市杷木志波政所観光
普門院木造十一面観音立像,〒838-1521　福岡県朝倉市杷木志波5376観光
普門院本堂,〒838-1521　福岡県朝倉市杷木志波5376観光
北九州カントリー倶楽部,〒820-1112　福岡県飯塚市鹿毛馬412-6観光
国境石,〒820-1112　福岡県飯塚市大字鹿毛馬6-1・2-1観光
鹿毛馬神籠石（国指定）,〒820-1112　福岡県飯塚市鹿毛馬観光
旧松喜醤油屋,〒820-1111　福岡県飯塚市大字勢田字仲村730観光
庄四季物,〒820-0101　福岡県飯塚市綱分802-14 庄内支所前観光
茜ゴルフ倶楽部,〒820-0712　福岡県飯塚市大分1931観光
サンビレッジ茜,〒820-0711　福岡県飯塚市山口845-38観光
大分八幡宮,〒820-0712　福岡県飯塚市大分観光
養源寺,〒820-0712　福岡県飯塚市大分1281観光
大分廃寺塔跡,〒820-0712　福岡県飯塚市大分観光
内野宿,〒820-0706　福岡県飯塚市内野観光
大分八幡宮の大樟,〒820-0712　福岡県飯塚市大分観光
三郡山,〒820-0709　福岡県飯塚市観光
大根地山,〒818-0003　福岡県飯塚市内野観光
九州りんご村,〒820-0321　福岡県嘉麻市大字馬見字宮小路観光
馬見山キャンプ村,〒820-0312　福岡県嘉麻市馬見3179-1観光
母里太兵衛の墓,〒820-0302　福岡県嘉麻市大隈町観光
麟翁寺,〒820-0302　福岡県嘉麻市大隈観光
鮭神社,〒820-0304　福岡県嘉麻市大隈観光
古処山のツゲ原生林,〒820-0332　福岡県嘉麻市千手観光
古処山,〒838-0012　福岡県嘉麻市観光
碓井琴平文化館,〒820-0502　福岡県嘉麻市上臼井767観光
お菊大明神（皿屋敷跡）,〒820-0502　福岡県嘉麻市上臼井観光
稲築町文化ふれあい伝承館,〒820-0202　福岡県嘉麻市大字山野1619-4観光
嘉麻市ふるさと交流館なつきの湯,〒820-0206　福岡県嘉麻市大字鴨生24-10観光
山野の石像群（五百羅漢）,〒820-0202　福岡県嘉麻市山野1609観光
石造三重塔・阿弥陀如来石仏（通称正平塔・正平仏）,〒820-0203　福岡県嘉麻市平観光
沖出古墳公園,〒820-0201　福岡県嘉麻市大字漆生78-1観光
稲築公園,〒820-0207　福岡県嘉麻市大字岩崎1084、1096観光
三郎丸の大樟,〒820-0207　福岡県嘉麻市口春字三郎丸322観光
王塚装飾古墳館,〒820-0603　福岡県嘉穂郡桂川町大字寿命３７６番地観光
麻生飯塚ゴルフ倶楽部,〒820-0609　福岡県嘉穂郡桂川町大字吉隅120観光
湯の浦キャンプ場,〒820-0607　福岡県嘉穂郡桂川町大字土師４６５０-４観光
ブドウ狩り,〒822-0133　福岡県宮若市脇田 宮若市観光協会観光
プリンスゴルフクラブ,〒822-0153　福岡県宮若市山口148観光
若宮ゴルフクラブ,〒822-0131　福岡県宮若市大字乙野1121観光
西鞍の丘総合運動公園,〒822-0131　福岡県宮若市乙野観光
力丸ダム湖,〒822-0122　福岡県宮若市下観光
石炭記念館,〒823-0005　福岡県宮若市上大隈573番地観光
ザ・クラシックゴルフ倶楽部,〒823-0017　福岡県宮若市倉久1-3観光
宮若市いこいの里千石キャンプ場,〒823-0011　福岡県宮若市千石観光
千石公園,〒823-0011　福岡県宮若市宮田観光
毘沙門さま（普光寺）,〒823-0004　福岡県宮若市磯光2530観光
霊験寺（釘抜地蔵尊）,〒823-0014　福岡県宮若市下有木1083-2観光
くらじの郷,〒807-1305　福岡県鞍手郡鞍手町大字新延414-1観光
鞍手町歴史民俗博物館,〒807-1311　福岡県鞍手郡鞍手町大字小牧2097観光
ムーンレイクゴルフクラブ　鞍手コース,〒807-1308　福岡県鞍手郡鞍手町八尋1331観光
大谷自然公園,〒807-1306　福岡県鞍手郡鞍手町大字古門３４番地観光
伊藤常足翁旧宅,〒807-1306　福岡県鞍手郡鞍手町大字古門1256観光
鞍手公園,〒807-1312　福岡県鞍手郡鞍手町大字中山2802-7観光
熱田宮,〒807-1313　福岡県鞍手郡鞍手町大字新北1565-1観光
長谷寺,〒807-1314　福岡県鞍手郡鞍手町大字長谷547観光
中山不動尊,〒807-1312　福岡県鞍手郡鞍手町大字中山1441観光
長谷観音,〒807-1314　福岡県鞍手郡鞍手町大字長谷547観光
新延大塚古墳,〒807-1305　福岡県鞍手郡鞍手町大字新延観光
高木薬師如来（明福寺飛地境内）,〒807-1313　福岡県鞍手郡鞍手町新北観光
古月横穴,〒807-1306　福岡県鞍手郡鞍手町古門観光
剣岳城跡,〒807-1312　福岡県鞍手郡鞍手町大字中山1590-5観光
六ケ岳,〒807-1307　福岡県鞍手郡鞍手町室木観光
愛菜の家,〒820-1106　福岡県鞍手郡小竹町南良津103-1観光
ミッションバレーゴルフクラブ,〒820-1103　福岡県鞍手郡小竹町大字勝野1870-1観光
合屋古墳,〒820-1101　福岡県鞍手郡小竹町御徳観光
長崎街道,〒820-1101　福岡県鞍手郡小竹町観光
遠賀川温泉,〒811-4312　福岡県遠賀郡遠賀町浅木61-1観光
チサンカントリークラブ遠賀,〒811-4321　福岡県遠賀郡遠賀町虫生津1612-3観光
遠賀総合運動公園　キャンプ場,〒811-4302　福岡県遠賀郡遠賀町大字広渡23-6観光
島津丸山古墳,〒811-4301　福岡県遠賀郡遠賀町島津地内観光
みかん狩,〒811-4201　福岡県遠賀郡岡垣町町内観光
漢方巨峰狩,〒811-4201　福岡県遠賀郡岡垣町町内観光
宝樹院,〒811-4221　福岡県遠賀郡岡垣町大字山田934-1観光
真福寺,〒811-4201　福岡県遠賀郡岡垣町大字波津４４７観光
大原神社,〒811-4202　福岡県遠賀郡岡垣町大字原６９５観光
海蔵寺,〒811-4203　福岡県遠賀郡岡垣町大字内浦９３１観光
氏森神社,〒811-4221　福岡県遠賀郡岡垣町大字山田９３１観光
赤レンガアーチ,〒811-4231　福岡県遠賀郡岡垣町大字海老津観光
金刀毘羅山,〒811-4231　福岡県遠賀郡岡垣町大字海老津観光
湯川山さくら道,〒811-4203　福岡県遠賀郡岡垣町大字内浦観光
孟宗金明竹,福岡県遠賀郡岡垣町町内観光
三里松原,福岡県遠賀郡岡垣町北部観光
湯川山,福岡県遠賀郡岡垣町西部観光
岡垣町観光協会,〒811-4233　福岡県遠賀郡岡垣町野間1-1-1観光
堀川歴史公園,〒807-0045　福岡県遠賀郡水巻町吉田東3丁目地内観光
夏井ヶ浜はまゆう公園,〒807-0141　福岡県遠賀郡芦屋町大字山鹿796
魚見公園,〒807-0141　福岡県遠賀郡芦屋町大字山鹿観光
城山公園,〒807-0141　福岡県遠賀郡芦屋町山鹿観光
神武天皇社,〒807-0112　福岡県遠賀郡芦屋町正門町１４番観光
芦屋釜の里,〒807-0141　福岡県遠賀郡芦屋町大字山鹿１５５８番地３観光
魚見公園展望所,〒807-0141　福岡県遠賀郡芦屋町山鹿魚見観光
芦屋,〒807-0101　福岡県遠賀郡芦屋町観光
千光院の大ソテツ,〒807-0121　福岡県遠賀郡芦屋町船頭町観光
芦屋町観光協会,〒807-0133　福岡県遠賀郡芦屋町大字芦屋1455-284観光
大島観光案内所,〒811-3701　福岡県宗像市大島 大島ターミナル内観光
かんす海水浴場,〒811-3701　福岡県宗像市大島観光
宗像大社沖津宮遙拝所,〒811-3701　福岡県宗像市大島観光
宗像大社中津宮,〒811-3701　福岡県宗像市大島182-1観光
ハマヒサカキ,〒811-3701　福岡県宗像市大島神崎観光
馬蹄岩,〒811-3701　福岡県宗像市神崎観光
三浦洞窟,〒811-3701　福岡県宗像市神崎観光
神崎,〒811-3701　福岡県宗像市観光
御嶽山,〒811-3701　福岡県宗像市大島観光
県立少年自然の家「玄海の家」,〒811-3501　福岡県宗像市神湊1276観光
地引網,〒811-3512　福岡県宗像市鐘崎観光
深浜海水浴場,〒811-3512　福岡県宗像市鐘崎観光
神湊海水浴場,〒811-3501　福岡県宗像市神湊観光
ユーアイゴルフクラブ宗像,〒811-3503　福岡県宗像市牟田尻2020観光
玄海ゴルフクラブ,〒811-3502　福岡県宗像市江口578-18観光
興聖寺,〒811-3505　福岡県宗像市田島1472観光
桜京古墳,〒811-3503　福岡県宗像市牟田尻（字桜京）２０１９番地観光
鐘崎貝塚,〒811-3512　福岡県宗像市上八林番下浜山１１３-１観光
泉福寺のエノキ,〒811-3512　福岡県宗像市鐘崎469観光
大クス,〒811-3505　福岡県宗像市田島2241　氏八幡神社観光
藤の木,〒811-3512　福岡県宗像市江口1330番地観光
イヌマキ天然林,〒811-3512　福岡県宗像市鐘崎２２４　織幡神社観光
孔大寺の大イチョウ,〒811-3515　福岡県宗像市池田２７４２観光
地島,〒811-3401　福岡県宗像市地島観光
鐘ノ岬,〒811-3512　福岡県宗像市鐘崎観光
孔大寺山,〒811-3401　福岡県宗像市観光
津屋崎海水浴場,〒811-3304　福岡県福津市津屋崎観光
大峰山キャンプ場,〒811-3307　福岡県福津市渡観光
大峰山自然公園,〒811-3307　福岡県福津市渡観光
東郷公園の桜,〒811-3307　福岡県福津市渡観光
津屋崎海岸,〒811-3304　福岡県福津市津屋崎観光
みずがめの郷,〒811-3206　福岡県福津市久末86-6観光
農産物直販施設なのみの里,〒811-2302　福岡県糟屋郡粕屋町大字大隈1229観光
平塚古墳,〒811-2301　福岡県糟屋郡粕屋町大字上大隈観光
自然歩道立花・三日月コース,〒811-2501　福岡県糟屋郡久山町
遠見岳,〒811-2501　福岡県糟屋郡久山町観光
新宮海水浴場,福岡県糟屋郡新宮町
梅岳寺,〒811-0102　福岡県糟屋郡新宮町大字立花口1275番地観光
独鈷寺,〒811-0102　福岡県糟屋郡新宮町大字立花口1098観光
立花城址,〒811-0102　福岡県糟屋郡新宮町大字立花口観光
横大路家住宅（千年家）,〒811-0117　福岡県糟屋郡新宮町大字上府420番地観光
立花山クスノキ原生林,〒811-0101　福岡県糟屋郡新宮町観光
立花山,〒811-0102　福岡県糟屋郡新宮町大字立花口観光
新宮町観光協会,〒811-0112　福岡県糟屋郡新宮町大字下府3-17-1観光
須恵町立久我記念館,〒811-2113　福岡県糟屋郡須惠町大字須恵77-1観光
須恵町立歴史民俗資料館,〒811-2114　福岡県糟屋郡須惠町大字上須恵21-3観光
左谷山建正寺,〒811-2115　福岡県糟屋郡須惠町佐谷
岳城山,〒811-2101　福岡県糟屋郡須惠町観光
鉄道記念公園,福岡県糟屋郡志免町志免中央2-7
平成の森公園,〒811-2208　福岡県糟屋郡志免町大字吉原660
志免総合公園,〒811-2207　福岡県糟屋郡志免町大字南里640-1
七夕池古墳,〒811-2204　福岡県糟屋郡志免町田富3-18
志免鉱業所跡竪坑及び第八坑関連地区,〒811-2202　福岡県糟屋郡志免町大字志免７１５番地１２ほか
旧志免鉱業所竪坑櫓,〒811-2202　福岡県糟屋郡志免町大字志免４９５-３
大和の森遊歩道,〒811-2411　福岡県糟屋郡篠栗町大字若杉
若杉自然歩道,〒811-2413　福岡県糟屋郡篠栗町大字若杉
篠栗四国霊場（お遍路）,〒811-2401　福岡県糟屋郡篠栗町観光
清流公園なるふち平,〒811-2405　福岡県糟屋郡篠栗町篠栗観光
樹芸の森,〒811-2402　福岡県糟屋郡篠栗町大字金出3252番地1観光
新吉野公園,〒811-2405　福岡県糟屋郡篠栗町城戸郷の原観光
観音公園,〒811-2402　福岡県糟屋郡篠栗町金出観光
鳴淵ダム,〒811-2405　福岡県糟屋郡篠栗町大字篠栗、金出観光
峯尾展望台,〒811-2405　福岡県糟屋郡篠栗町大字篠栗観光
鳴淵ダム展望台広場,〒811-2402　福岡県糟屋郡篠栗町大字金出観光
新吉野公園の桜,〒811-2405　福岡県糟屋郡篠栗町城戸郷の原観光
花観音,〒811-2405　福岡県糟屋郡篠栗町大字篠栗観光
荒田高原,〒811-2405　福岡県糟屋郡篠栗町大字篠栗観光
宇美町立歴史民俗資料館,〒811-2101　福岡県糟屋郡宇美町宇美一丁目１番２２号観光
宇美町総合スポーツ公園,〒811-2108　福岡県糟屋郡宇美町ゆりが丘一丁目2番観光
光正寺古墳公園,〒811-2101　福岡県糟屋郡宇美町光正寺二丁目4537-11観光
昭和の森,〒811-2101　福岡県糟屋郡宇美町大字宇美字正楽観光
宇美公園,〒811-2122　福岡県糟屋郡宇美町明神坂1丁目4684-1観光
衣掛の森,〒811-2101　福岡県糟屋郡宇美町宇美一丁目１番１号 宇美八幡宮観光
蚊田の森,〒811-2101　福岡県糟屋郡宇美町宇美一丁目１番１号 宇美八幡宮観光
三郡山のツクシシャクナゲ,〒811-2101　福岡県糟屋郡宇美町三郡山観光
湯蓋の森,〒811-2101　福岡県糟屋郡宇美町宇美一丁目１番１号 宇美八幡宮観光
難所ヶ滝,〒811-2101　福岡県糟屋郡宇美町観光
頭巾山,〒811-2101　福岡県糟屋郡宇美町観光
佛頂山,〒811-2101　福岡県糟屋郡宇美町観光
三郡山,〒811-2101　福岡県糟屋郡宇美町観光
筑紫ケ丘ゴルフクラブ,〒811-1241　福岡県筑紫郡那珂川町大字後野字早口571観光
大博多カントリー倶楽部,〒811-1232　福岡県筑紫郡那珂川町大字埋金字四郎五郎5観光
グリーンピアなかがわキャンプ村,〒811-1234　福岡県筑紫郡那珂川町大字五ケ山870-2観光
グリーンピアなかがわ　スキップ広場,〒811-1234　福岡県筑紫郡那珂川町大字五ケ山870-2観光
筑紫耶馬渓,〒811-1233　福岡県筑紫郡那珂川町大字市ノ瀬〜大字五ヶ山観光
お牧山キャンプ場,〒835-0114　福岡県みやま市山川町甲田2650-1観光
清水寺三重塔,〒835-0003　福岡県みやま市瀬高町本吉1119-1　清水寺観光
御座敷梅林・御座敷盆梅,〒835-0102　福岡県みやま市山川町尾野観光
天保古平家一本桜,〒835-0113　福岡県みやま市山川町重冨観光
御牧山,〒835-0114　福岡県みやま市山川町甲田観光
嘉穂アルプス九州自然歩道,福岡県嘉麻市観光
益富城自然公園,〒820-0303　福岡県嘉麻市中益248番地観光
嘉穂総合運動公園,〒820-0306　福岡県嘉麻市上西郷1482番地１
織田廣喜美術館,〒820-0502　福岡県嘉麻市上臼井767番地観光
長谷山,福岡県嘉麻市
鴨ヶ岳,福岡県嘉麻市
三高山,福岡県嘉麻市
白馬山,福岡県嘉麻市
大法山,福岡県嘉麻市
馬見山,福岡県嘉麻市
屏山,福岡県嘉麻市
吉井百年公園,〒839-1333　福岡県うきは市吉井町富永423-1観光
佐藤家庭園,〒839-1412　福岡県うきは市浮羽町小塩2339観光
ゆる〜っと、ほっこり。森林セラピー,〒839-1393　福岡県うきは市吉井町新治316番地
うきは市観光協会　浮羽支局,〒839-1408　福岡県うきは市浮羽町山北729-2観光
あんずの里ふれあいの館,〒811-3521　福岡県福津市勝浦1667番地の1
あんずの里運動公園,〒811-3521　福岡県福津市勝浦1706番地の1観光
津屋崎千軒,〒811-3304　福岡県福津市津屋崎
福津市観光協会,〒811-3217　福岡県福津市中央3-8-1観光
薬王寺温泉,〒811-3124　福岡県古賀市薬王寺観光
古賀市コスモス館,〒811-3134　福岡県古賀市青柳658-1
古賀ゴルフ・クラブ,〒811-3105　福岡県古賀市鹿部1310-1観光
古賀グリーンパーク,〒811-3133　福岡県古賀市青柳町587-1観光
青柳宿構口跡,〒811-3133　福岡県古賀市青柳町観光
興山園の桜・ツツジ,〒811-3123　福岡県古賀市米多比観光
伊都郷土美術館,〒819-1119　福岡県糸島市前原東2丁目2-8(伊都文化会館横）観光
糸島高校郷土博物館,〒819-1139　福岡県糸島市前原南2丁目21-1観光
水無林間歩道,〒819-1100　福岡県糸島市
雷山自然歩道,〒819-1145　福岡県糸島市雷山
井原山自然歩道,〒819-1582　福岡県糸島市井原
怡土城跡周回連絡歩道,〒819-1101　福岡県糸島市高祖
雷山周回自然歩道,〒819-1145　福岡県糸島市雷山
怡土城跡探望歩道,〒819-1101　福岡県糸島市
福岡雷山ゴルフ倶楽部,〒819-1574　福岡県糸島市川原807番地観光
伊都ゴルフ倶楽部,〒819-1147　福岡県糸島市香力474観光
糸島市立瑞梅寺山の家キャンプ場,〒819-1581　福岡県糸島市瑞梅寺658観光
糸島市農業公園「ファームパーク伊都国」,〒819-1571　福岡県糸島市高祖７４７の１観光
雷神社,〒819-1145　福岡県糸島市雷山148観光
高祖神社,〒819-1571　福岡県糸島市高祖1240観光
志登神社,〒819-1106　福岡県糸島市志登82観光
金龍寺,〒819-1571　福岡県糸島市高祖1289観光
宇美八幡宮,〒819-1155　福岡県糸島市川付787観光
平原歴史公園,〒819-1561　福岡県糸島市有田観光
雷山神籠石,〒819-1145　福岡県糸島市雷山，飯原観光
怡土城跡,〒819-1563　福岡県糸島市高来寺，大門，高祖観光
三雲南小路遺跡,〒819-1583　福岡県糸島市三雲観光
志登支石墓群,〒819-1106　福岡県糸島市志登観光
雷山神籠石,〒819-1100　福岡県糸島市雷山、飯原観光
はまぼう,〒819-1101　福岡県糸島市（糸島市前原と糸島市志摩の境を流れる泉川の両岸。）観光
大悲王院の楓,〒819-1145　福岡県糸島市雷山626観光
井原山,〒819-1581　福岡県糸島市瑞梅寺観光
高祖山,〒819-1571　福岡県糸島市高祖観光
