盛岡南ゴルフ倶楽部,〒028-3121　岩手県花巻市石鳥谷町戸塚2-13-1観光,すべての基本情報を見る
戸塚森森林公園キャンプ場,〒028-3111　岩手県花巻市石鳥谷町新堀観光,花と緑豊かなアウトドアフィールド。キャンプ・スポーツ・ハイキング・レクリエーション…自然の中でおもいっきり楽しもう！！
戸塚森森林公園,〒028-3111　岩手県花巻市石鳥谷町新堀観光,梅・桜・つつじ約３１，０００本，球技場（１０，４００平方ｍ）・バンガロー・キャンプ施設・木製遊具・野外活動施設も整備されている。
光勝寺,〒028-3141　岩手県花巻市石鳥谷町五大堂11-49観光,宝蔵庫に多くの貴重な仏像を収蔵。この寺院には大蛇にまつわる伝説もある。旧暦の正月７日には五大尊蘇民祭が行われる。
大興寺,〒028-3181　岩手県花巻市石鳥谷町大興寺23-1観光,約１４ｃｍの土でできた聖観音像（別名、首継観音）をまつった土仏観音堂がある。
土仏観音堂宇,〒028-3181　岩手県花巻市石鳥谷町大興寺23-1観光,本堂は2間四方の総けやきづくり。1846年に再々建立。木彫りの「昇り竜」がすばらしい。
光林寺,〒028-3171　岩手県花巻市石鳥谷町中寺林12-54観光,宝蔵庫に多くの重要文書を収蔵。庭園が美しい。巨大なカシワの木や杉木立に囲まれている。
新堀城跡,〒028-3111　岩手県花巻市石鳥谷町新堀観光,新仙寺の上方。稗貫氏の一族であった新堀氏の居城であった。奥州仕置き（1590年）の後、江刺市の居城となる。階段状の構築の後、空堀等、山城としての当時の形態が残っている。
好地旧一里塚,〒028-3101　岩手県花巻市石鳥谷町好地観光,「奥州街道」改修前の一里塚。
江曽一里塚,〒028-3151　岩手県花巻市石鳥谷町江曽観光,南部氏城下町盛岡と江戸を結ぶ「奥州街道」の一里塚。直径約１０ｍ、高さ３ｍ。国道４号沿い。
戸塚森森林公園の桜・梅・つつじ,〒028-3111　岩手県花巻市石鳥谷町新堀57-44-7観光,桜・梅・つつじ３１，０００本
長善寺の桜,〒028-3111　岩手県花巻市石鳥谷町新堀65-54観光,樹齢３５０年越・高さ２０ｍ・根元の直径１．３ｍの大木。
逆ひば,〒028-3153　岩手県花巻市石鳥谷町小森林観光,樹齢数百年。根本直径２ｍ。弘法大師が諸国巡行の際，置き忘れた杖に根が生えたというエピソードがある。
葛丸川渓流,〒028-3185　岩手県花巻市石鳥谷町大瀬川観光,上流には葛丸ダムがあり，湖畔には，童話作家宮沢賢治の歌碑「葛丸」が建てられてある。溪流・滝・山・四季折々の景観がすばらしい。
渓流の駅,〒028-3203　岩手県花巻市大迫町大迫1-1-2観光,すべての基本情報を見る
清流の駅,〒028-3204　岩手県花巻市大迫町亀ケ森14-124-4観光,すべての基本情報を見る
大迫郷土文化保存伝習館,〒028-3201　岩手県花巻市大迫町内川目1-2観光,郷土芸能や文化財の伝承と保存を目的に開館された郷土文化保存伝習館。館内には、神楽などの郷土芸能を練習する伝承ホール、神楽道具や妙泉寺に伝わる什物などを展示する展示室がある。また、館内では神楽のビデオが上映される。
早池峰観光ぶどう園 吉田ぶどう園,〒028-3201　岩手県花巻市大迫町内川目40-65-1観光,キャンベルやナイアガラを含む5種類のぶどうが入園料で食べ放題。バーベキューもできます(要予約)。
河原の坊キャンプ場,〒028-3201　岩手県花巻市大迫町内川目河原の坊観光,早池峰山の河原の坊登山口に位置するキャンプ場。前日宿泊して、早朝登山するには最適です。流しがありますが、沢水を使用しているため、沸かすなどしてご利用ください。飲料水はそばの河原の坊総合休憩所にあります。
笠詰野営場,〒028-3201　岩手県花巻市大迫町内川目国有林地内観光,早池峰山の麓に位置する自然豊かなキャンプ場です。テントサイトは約50張のテント設営が可能で、早池峰登山の宿泊やキャンプファイヤー、秋の紅葉がりなど、春から秋にかけて楽しめます。
早池峰神社,〒028-3201　岩手県花巻市大迫町内川目1-1観光,盛岡藩の東の鎮山とされた早池峰山の祈願所として、岳妙泉寺が整備されました。慶長15年（1610）から３年をかけて、岳妙泉寺の奥宮として造営されたのが新山堂（現・早池峰神社）です。慶長以後２度ほど修復されましたが、内陣柱を中心とした軸組や、軒回りの彫刻・装飾などにも慶長期の堅実な手法が残されています。
七折の滝,〒028-3201　岩手県花巻市内川目観光,鶏頭山の中腹にある滝で、高さ50メートルから落下する水が滝口近くに突き出た岩にぶつかり、一筋の美しい飛泉となって噴出します。これが白い虹のようになって10数メートルにも及び、さらに対岸の岸壁をつき、数段折れて滝つぼに注ぐさまは、まさに偉観です。　滝つぼの真上の岸壁には、不動尊像が刻まれています。
早池峰山,〒028-3201　岩手県花巻市大迫町内川目観光,"標高1,917メートル、北上高地の最高峰である早池峰山。山肌のいたるところに巨岩、巨石が露出し、そのはざまには氷河期の厳しい自然に耐えて生き残った可憐な高山植物が咲き誇っている。3つある登山コースのうち、一般的なのが河原の坊コースと小田越コース。急斜面であるが、3時間程度で山頂へたどり着ける。"
不動温泉百万石,〒028-3627　岩手県紫波郡矢巾町和味2-106-5観光,肌がツルツル、発汗作用のある源泉かけ流しの温泉です。土、日、祝日は朝６時からの営業をしているので、早起きをして朝風呂がおすすめです。　木立と池のほとりの景色で、すがすがしい気分になります。
マース矢巾パストラルバーデン,〒028-3623　岩手県紫波郡矢巾町大字煙山3-563観光,煙山ダムの近く，洋風館の建物が目を引く。ダムの景観を眺めながらヒノキの電気風呂をはじめ，6種類のお風呂が楽しめます。東北有数のラドン温浴ルームを開設（新）
矢巾温泉郷,〒028-3623　岩手県紫波郡矢巾町大字煙山観光,昭和43年に湧出した温泉。近くには源義家の愛馬の蹄跡といわれる馬蹄石やぬさかけの滝，南昌山，岩崎川渓流などがあって散策ができるほか，岩手県で初めてのペタンク広場，18ホール備えたマレットゴルフ場，10面もあるゲートボール場，冬でも楽しめる屋内ゲートボール場などのレクリエーション施設もあり，老いも若きも楽しめる。※平成25年8月9日の大雨災害により、国民保養センターは休業中。同じく幣懸の滝、南昌山、岩崎川清流等、周辺施設も被害があり、現在復旧作業中。
南昌山麓水辺の里,〒028-3623　岩手県紫波郡矢巾町大字煙山,木立の中をぬって，川辺に沿って歩く自然散策路。四季折々の風景を楽しむことができ，宮沢賢治の句碑や水と親しめる広場などがある。※平成２５年８月９日の大雨災害により現在復旧作業中。
矢巾町営キャンプ場,〒028-3623　岩手県紫波郡矢巾町大字煙山観光,南昌山自然公園内にあり，近くには温泉や滝，温水プールなどがある。キャンプ場には，東屋，炊事場，キャンプファイヤー場などの設備が整っている。
矢巾町マレットゴルフ場,〒028-3623　岩手県紫波郡矢巾町煙山地内観光,全ホールが芝コースとなっており，コース内には自然の木立を生かした障害物等もあり，戦略性に富んだコース。レイアウトは，初心者からベテランの方まで楽しめるコースとなっている。※平成２５年８月９日の大雨災害により現在復旧作業中。
南昌グリーンハイツ,〒028-3623　岩手県紫波郡矢巾町大字煙山3-561観光,20m5コースと幼児プールのある温水プールです。5月から9月までの営業休館日：毎週月曜日（祝祭日、連休日の際はその翌日）
南昌山,〒028-3600　岩手県紫波郡矢巾町観光,標高８４８ｍ昔から「青龍大権現が棲む山」として頂上に雨乞い信仰の獅子頭 が奉納されています。釣鐘を置いたような山型で、生息する動植物の種類の宝庫とされています。登山コースとして、家族向けハイキングコース、上級者向けの前倉コースがあり、矢巾温泉郷周辺から、幣懸(ぬさかけ)の滝を通り５合目まで約２時間コースでゆっくり頂上を目指します。５合目から階段式となっております。※平成２５年８月９日の大雨災害により現在復旧作業中。
ききょう荘,〒028-3443　岩手県紫波郡紫波町上松本字内方96観光,アルカリ性単純温泉の泉質は入浴すると肌がツルツルすることから美人の湯として親しまれています。3時間は湯冷めしないと評判です。刺激が無くて柔らかい湯は、少しの入浴でもぽかぽかになります。ききょう荘は自炊もできる静かな宿泊施設です。
峠の駅,〒028-3316　岩手県紫波郡紫波町佐比内字馬場80-1観光,トイレ・産地直売施設・レストラン
観光ぶどう園・小原,〒028-3316　岩手県紫波郡紫波町佐比内外ヶ沢ぶどう団地内観光,大自然の中でゆっくりとぶどう狩りができます。あらかじめ電話してからお越しください。
岩手ゴルフ倶楽部,〒028-3453　岩手県紫波郡紫波町土舘字馬ノ子1-1観光,すべての基本情報を見る
野村胡堂の歌碑,〒028-3304　岩手県紫波郡紫波町二日町字古舘,紫波町生まれ。作家，音楽評論家。小説『銭形平次捕物控』で有名。「あらえびす」の名で音楽評論をし，レコードコレクターとしても有名。
巽聖歌の詩碑,〒028-3307　岩手県紫波郡紫波町桜町字下川原100,日詰町生まれ。童謡詩人。雑誌『赤い鳥』に投稿し，北原白秋に激賞され，詩人として認められる。以後，童謡を数多く作る。
志和稲荷神社,〒028-3442　岩手県紫波郡紫波町升沢字前平17-1観光,"鎮守府将軍 源頼義，義家の創建。五穀豊穣、大漁、交通安全の守り神です。境内には、樹齢1,000年といわれる杉の古木があり信仰を集めています。志和の「おいなりさん」と仰がれて、車のお祓い・厄祓（厄年祓）・合格祈願には特に霊験あらたかな神様として、全国各地から多くの参拝者が訪れます。"
勝源院の逆ガシワ,〒028-3305　岩手県紫波郡紫波町日詰字朝日田273観光,昭和4年に国の天然記念物に指定されている、枝が根のように見える珍木。幹の太さ4m，地上1mのところで4本に分かれ，曲りくねっている。「勝源院」の裏庭にあり、前九年の役の後に源頼義・義家父子が植えたという伝説が残っている。
志和稲荷神社の杉群,〒028-3442　岩手県紫波郡紫波町升沢字前平17-1観光,杉の古木３３本樹令１５００年の大杉１本。
志賀理和気神社の南面の桜,〒028-3307　岩手県紫波郡紫波町桜町字本町川原1観光,地元では「赤石神社」の通称で呼ばれている「志賀理和気神社」の参道にある樹齢７００年の桜の古木です。恋物語の伝説も残り、春には美しいピンクの花が参拝客を出迎えます。
紫波城山公園の桜群,〒028-3304　岩手県紫波郡紫波町二日町字古舘観光,"紫波町のほぼ中央、標高180mの小高い丘にある史跡公園。エゾヒガン・ソメイヨシノ・ヤエザクラなど2,000本が咲き、まつりの時期はライトアップされた見事な夜桜観賞もできる。園内は林の中に遊歩道もある。"
船久保洞窟,〒028-3532　岩手県紫波郡紫波町船久保字百沢観光,縄文時代の住居跡として、昭和32年に岩手県指定史跡となった。天井を見ると美しい鍾乳石があり、1年中12度を保っています。洞窟内にはたくさんのキクカシラコウモリが住みついています。
滝名川渓流,〒028-3453　岩手県紫波郡紫波町土舘字馬ノ子観光,志和稲荷神社から山王海ダムまで、山桜・紅葉の美しい渓流。
新山高原,〒028-3453　岩手県紫波郡紫波町土舘字馬ノ子観光,奥羽山系にあり，眺望の開けた高原。ゴルフ場，牧野，園地，展望台，放送通信中継所があります。5月の下旬にはツツジが咲きます。
東根山,〒028-3444　岩手県紫波郡紫波町小屋敷観光,台形の姿が印象的な「志波三山」の南端、東根山は頂上まで約2時間30分で登ることができます。ブナ原生林と高山植物が多く，袖滝の清水（水飲み場）があり、蛇石展望台、そして山頂からの眺めがよく、岩手山、秋田駒ケ岳などを一望できます。
智恵の滝,〒028-7621　岩手県八幡平市兄川観光,兄川渓流の支流にある「智恵の滝」は高さ30mのビッグスケール。山深く、原生林に囲まれた渓谷の中、巨岩から流れる水を見ているとミステリーゾーンにまぎれ込んだかのようです。要案内人。
岩洞湖活性化センター,〒028-2711　岩手県盛岡市玉山区薮川字外山35-45観光,本州最寒記録地域(‐35℃)の岩洞湖を眺めながら、地元藪川そばのそば打ちを昔ながらの方法で体験できます。また出来上がった「そば」は、その場で召し上がっていただくかお土産にも出来ます。　4月〜10月、産直コーナーを設置し地場産品（野菜・きのこ等）も安価に入手できます。冬はワカサギ釣り客にも大人気。
姫神山一本杉キャンプ場,〒028-4124　岩手県盛岡市大字馬場字前田33-162観光,姫神山ふもとのキャンプ場。
岩洞湖家族旅行村,〒028-2711　岩手県盛岡市玉山区薮川字亀橋33-4観光,日本一美しい人造湖といわれている岩洞湖の北側に、家族を中心としたグループが大自然の中で気軽に楽しめるようにと、家族旅行村がオープンしたのが昭和５８年６月。旅行村内には「キャンプ場」「おまつり広場」「ちびっこ広場」「ピクニック広場」「遊歩道」「テニスコート」が整備されており、平成１２年にはサニタリーハウスが完備したオートキャンプ場もオープンし人気を呼んでいる。また、毎年恒例の「岩洞湖まつり」は９月の中旬に開催され、地元の薮川そば・短角牛肉が堪能できる。
石川啄木歌碑（玉山区）,〒028-4125　岩手県盛岡市玉山区,「霧ふかき好摩の原の停車場の朝の虫こそすゞろなりけれ」（夜更森園地内）。「新しき明日の来るを信ずといふ自分の言葉に嘘はなけれど」（愛宕神社境内内）。「やわらかに柳あおめる北上の岸邊目に見ゆ泣けととごくに」（渋民公園内）。
渋民公園,〒028-4132　岩手県盛岡市玉山区渋民字鶴塚5-5観光,石川啄木の全国第1号歌碑が北上川畔に立つ。“やはらかに柳あをめる北上の岸邊目に見ゆ泣けとごとくに”と刻まれ，高さ3mぐらいの大きな石碑で1922年（大正11）年4月に建てられたもの。吊り橋の鶴飼橋がかかる北上川を見下ろし，背後には女性的な山容の姫神山を，相対して岩手山を望む。公園内の啄木の駅では，地元主婦による手作りケーキや啄木グッズ，産直野菜も販売している。
渋民緑地公園,〒028-4132　岩手県盛岡市玉山区渋民字愛宕67-3観光,愛宕山の山頂に愛宕神社があり、その裏手に造成された公園です。花崗岩で出来た展望台がありますこのあたりを啄木は「生命の森」と呼んで、好んで散策していました。「ふるさとの山に向ひて　言ふことなし…」の啄木歌碑があります。
東楽寺,〒020-0202　岩手県盛岡市玉山区玉山字一笠31観光,十一面観音像が安置されている。像高3ｍ60cm約一丈で、もとは盛岡の仁王村仁王町観音堂にあったものを移されたといわれている。
宝徳寺,〒028-4132　岩手県盛岡市玉山区渋民字渋民2-1観光,明治２０年春、啄木誕生の１年後、父石川一禎は、日戸村の常光寺から渋民村の宝徳寺へ栄進しました。その時、石川家の子供は、姉のサダ、トラ、妹のミツの３人姉妹と一人息子の一（はじめ：啄木）の４人でした。明治３８年１月、父一禎は住職を罷免され、一家は渋民村を去りました。万年山宝徳寺は、万治元年１６５８年に開基され、村内一の檀家を擁しています。啄木は、この寺に幼少時代を送りました。寺はその後改築されました。かつて啄木が愛した部屋は、当時のまま保存しています。裏庭には白蘋の池がありますが、中学時代に用いた号白蘋はこれに由来しています。境内には、父一禎の墓や歌碑などがあります。
巻堀神社,〒028-4123　岩手県盛岡市玉山区巻堀字本宮22観光,ご神体は高さ６０ｃｍほどの金勢大明神で，古くから縁結び・安産の守護神として信仰を集めている。
常光寺,〒020-0201　岩手県盛岡市玉山区日戸字古屋敷71観光,石川啄木生誕のお寺。啄木が生まれた部屋の一部が復元され、境内には金田一京助博士の揮亳による「生誕の地」碑が建てられています。
岩洞湖のスズラン,〒028-2711　岩手県盛岡市玉山区藪川字亀橋33-4　岩洞湖家族旅行村観光,スズランの群生地
姫神山一本杉,〒028-4124　岩手県盛岡市玉山区字馬場字前田観光,樹齢250年，直径1.5mの大木。根本から冷水が湧いてくる。
しだれ赤松,〒020-0202　岩手県盛岡市玉山区玉山字祝の沢観光,すべての基本情報を見る
姫神山のスズラン,〒028-4124　岩手県盛岡市玉山区字馬場字前田観光,スズランの群生地。
外山高原,〒028-2711　岩手県盛岡市玉山区薮川字外山観光,早坂高原と共に北上準平原中の代表的高原，丘陵の中にスズラン，白樺に囲まれた外山ダムがあり，山菜の宝庫。
早坂高原,〒028-2711　岩手県盛岡市岩泉町観光,早坂峠を中心に，南に大森山，北に上明神岳をひかえた高原。短角牛が放牧され，レンゲ，ツツジの群落がある。
姫神山,〒028-4124　岩手県盛岡市玉山区観光,"みちのくの空に美しい三角形を描く姫神山。詩人石川啄木のふるさと盛岡市玉山区の中央に高まる花崗岩の残丘で、標高1,123.8Ｍ。子供からお年寄りまで登れる山として親しまれ、岩手三山に数えられる名峰です。代表的な登山道のひとつ、一本杉コースの登山道は松林から杉林に続き、樹齢約300年といわれる杉の古木に出会います。雑木林・低木帯を抜けると突然眺望が開き、山頂を覆う巨石郡が現れます。頂上では西にそびえる岩手山をはじめ、早池峰山・八幡平などの山々や北上川を眺望できます。　遠くから眺めたときの際立って美しく整った稜線、登頂したものを圧倒する山頂の巨石群。古代から天の神が降り立ち、地の神々が集まる場所と呼ばれたというのもうなずけます。"
八幡平ライジングサンホテル,〒028-7302　岩手県八幡平市八幡平温泉郷観光,すべての基本情報を見る
プータロ,〒028-7302　岩手県八幡平市八幡平温泉郷観光,すべての基本情報を見る
安比高原ゴルフクラブ,〒028-7306　岩手県八幡平市安比高原180-1観光,すべての基本情報を見る
松川キャンプ場,〒028-7302　岩手県八幡平市松川温泉観光,岩手山松川コース・裏岩手縦走の登山ベースの便利。付近には松川温泉郷がある。要予約。
県民の森キャンプ場,〒028-7302　岩手県八幡平市松尾寄木地内観光,炊事棟とウッドデッキ、水洗トイレを備えた快適なキャンプ場。近くには八幡平温泉郷やスキー場がある。キャンプ場は約２００人収容できる。
八幡平サーキットサンマリノグランプリ,〒028-7302　岩手県八幡平市松尾寄木5-2-8観光,"1周530,010ｍの無限MPCA公認コースは関東以北最長、期間中特典多数あり。"
八幡平市自然休養村グラウンド,〒028-7302　岩手県八幡平市松尾寄木2-512観光,岩手山のふもとでスポーツを。合宿も受け入れています。
岩手県県民の森,〒028-7302　岩手県八幡平市松尾寄木字沼利515-5観光,森林ふれあい学習館フォレストI(アイ），遊歩道，木材工芸センターなど。森川渓谷に沿う７０ｈａの森林。野鳥の森には巣箱がかけられており，約１００種類の野鳥を観察できる。
金沢清水,〒028-7302　岩手県八幡平市松尾寄木地内 トラウトガーデン裏観光,八幡平市松尾寄木の７カ所の湧水は，別名「座頭清水湧水群」と呼ばれ，幾多の伝説が伝えられている。岩手山の滝に住む７つの頭を持つ竜が地中に潜り，山里に頭をだしたのが湧水口という話もそのひとつ。ここから湧水は滝の水が地中に染み込んだ伏流水が湧き出したとされているが，定説はない。国立公園の入口にあり，ホテルや別荘が多い村では，水も観光資源。水道水源にするほか，大規模な釣り堀公園「トラウドガーデン」にも利用している。日本名水百選。
（株）地熱染色研究所　工房　夢蒸染,〒028-7302　岩手県八幡平市松尾村寄木松川国有林５５９林班ヲ小班観光,国内唯一の蒸気を使った染物。製品のすべてが手絞りで偶然が重なってできるため、すべてが世界にひとつのオリジナル。工房にて染色及び商品説明が受けられる。
源太森展望台,〒028-7300　岩手県八幡平市観光,広い八幡沼を一望できるスポット。八幡沼と湿原の四季折々の表情をとらえることができる。
県民の森展望台,〒028-7302　岩手県八幡平市松尾寄木地内観光,すべての基本情報を見る
明治百年記念造園地の桜,〒028-7302　岩手県八幡平市寄木観光,岩手県の北西部、奥羽山脈に囲まれた旧松尾村で、1969年に明治百年を記念して道路沿2kmにわたって桜を植栽。車窓から見る桜並木と八幡平の山々の残雪が見事である。その後村制百周年時にも村内全体に四万本が植栽されている。
八幡平樹氷,〒028-7111　岩手県八幡平市観光,源太森から八幡平頂上，見返峠付近のアオモリトドマツの樹海は，１２月いっせいに壮観な樹氷原となる。
蓬莱境,〒028-7111　岩手県八幡平市寄木藤七温泉観光,巨石奇岩とコメツガやアオモリトドマツが造った天然の庭。
大揚沼,〒028-7111　岩手県八幡平市観光,天然記念物モリアオガエルの生息地
夜沼,〒028-7111　岩手県八幡平市観光,茶臼岳のふもとにあり，ミズバショウの群落がある。
蓬莱沼,〒028-7111　岩手県八幡平市観光,藤七温泉付近のアオモリトドマツに囲まれた藍色の湖。
御在所沼・赤沼,〒028-7111　岩手県八幡平市観光,別名五色沼，御在所温泉にあり園地となっており水の色が変化する。
御護沼,〒028-7302　岩手県八幡平市観光,松川温泉の北方にある小さな美しい沼。
御苗代湖,〒028-7111　岩手県八幡平市観光,岩手山外輪の屏風，鬼ヶ城尾根の中心のカルデラ湖。
畚岳,〒028-7111　岩手県八幡平市観光,眺望に優れる吊鐘を伏せた様な山。藤七温泉より３０分。
諸桧岳,〒028-7111　岩手県八幡平市観光,裏岩手縦走路の拠点。藤七温泉より１時間１０分。
三ッ石山,〒028-7302　岩手県八幡平市観光,"八幡平市と雫石町の境に位置し、岩手山の西方、八幡平に続く裏岩手縦走路の中間にある。標高1,466メートル。6月上旬にミズバショウが咲き、7月にはニッコウキスゲが美しい。紅葉は9月下旬から山頂付近で始まり、10月末に山麓へと移る。"
大深岳,〒028-7111　岩手県八幡平市観光,西はブナ原生林，東はハイマツ帯。松川より２時間半。
産直チャグチャグ,〒020-0173　岩手県滝沢市滝沢字牧野林1000-1観光,定番の野菜から西洋野菜まで。スイカ、リンゴ、穀類、きのこ、苗、お花など。
農産物共同直売所ふれあい,〒020-0173　岩手県滝沢市滝沢字木賊川320,産直県内第１号です。りんごほか果物全般♪他に野菜・花・漬物・味噌など。地場産品のみを取り扱っています。地方発送もOKです！
フォックスバーデンスパ・ドーム,〒020-0172　岩手県滝沢市鵜飼字笹森41-2観光,泡風呂や電気サウナが楽しめる、100%天然温泉です。この度2号源泉（泉温45℃）を採掘し、ナトリウム一塩化物・炭酸水素塩泉が湧出しました。お肌等がツルツルになる温泉です。会議・大小宴会・カラオケ等にもご利用ください。
たきざわ自然情報センター,〒020-0172　岩手県滝沢市鵜飼字安達114-7観光,鞍掛山登山、歩くスキー、周辺山野草等岩手山麓の情報発信施設としてオープンしました。写真展や見頃の草花の紹介等最新の情報を備えてお客様のお越しをお待ちしております。
国立岩手山青少年交流の家,〒020-0601　岩手県滝沢市後２９２観光,"〈山・雪・みちのく　岩手山〉秀峰岩手山の自然豊かな山裾に位置する国立岩手山青少年交流の家(愛称：テンパーク)は,登山、キャンプ場、野外炊事や冬はそり遊びなど四季を通じた様々な自然体験活動のほか自然素材を活かした創作活動,キャップハンディ体験,南部曲屋を使用した活動などができます。"
野鳥観察の森ネイチャーセンター,〒020-0173　岩手県滝沢市滝沢字砂込1533観光,「野鳥観察の森ネーチャーセンター」は、滝沢村の緩やかな起伏の丘陵地に位置、面積は森林公園６０．６１ヘクタールのうち、１６．５８ヘクタールを野鳥観察の森として整備しています。標高は約２５０メートルで、主にアカマツとカシワ、サクラなどの広葉樹が混交した自然林です。また、キビタキ、シジュウカラ、アオジなどの鳥類、カモシカ、ノウサギ、タヌキ、リスなどの哺乳類、クワガタムシ、オニヤンマなどの昆虫類が生息している典型的な低山帯の自然環境です。この森は、自然とのふれあいを通じて、自然のしくみを理解し、自然の大切さを学ぶ場として整備されています。
滝沢村埋蔵文化財センター,〒020-0173　岩手県滝沢市滝沢字湯舟沢327-13観光,滝沢村埋蔵文化財センターは、埋蔵文化財の発掘調査と保存、研究、記録を目的とした室内整理、出土遺物の収蔵と展示公開等、埋蔵文化財の普及を実施するための中心的施設として、平成12年4月にオープンしました。隣接する史跡公園「湯舟沢環状列石」は地表に823個の石を使用して原寸大に復元。本物は地下に発掘当時のまま保存されています。周囲には、縄文時代の植生を復元。縄文時代当時の景観を再現しました。
岩手林業株式会社滝沢事業所　ブルーベリー園,〒020-0173　岩手県滝沢市滝沢字巣子152-263観光,7月中旬よりブルーベリー摘取り園を開園しています。皆様のお越しをお待ちしております。7月25日頃まで、特別に摘み取った新鮮な大粒をご贈答用ブルーベリーとして限定50箱のみご注文を受け付けております。
メイプルカントリークラブ,〒020-0171　岩手県滝沢市大沢1-1観光,すべての基本情報を見る
馬返しキャンプ場,〒020-0173　岩手県滝沢市滝沢観光,岩手山登山口にあるキャンプ場
相の沢キャンプ場,〒020-0172　岩手県滝沢市鵜飼観光,岩手山のふもと、鞍掛山の真下に広がる、駐車場水道施設の整った快適なキャンプ場。
鬼越蒼前神社,〒020-0172　岩手県滝沢市鵜飼外久保観光,みちのくの初夏を彩る風物詩チャグチャグ馬コが出発する神社。
雫石街道日向一里塚,〒020-0151　岩手県滝沢市大釜観光,南部氏の居城盛岡と佐竹氏の居城久保田（秋田）を結ぶ最短の道である秋田街道は、江戸時代においては雫石までは「雫石街道」と呼ばれ、雫石では「秋田往来」と呼んでいた。雫石へ通じる道は、以前は篠木坂峠や大沢坂峠、鬼古里坂峠などいずれも七ツ森の北側を通るものであったが、江戸時代になって大釜を経由して七ツ森の南を通る街道が整備された。　雫石街道は盛岡城下から夕顔瀬橋（明治２年、1765年までは舟渡し）を渡り、新田町の升形で盛岡から出るが、現国道４６号線と異なるのは前潟から土淵を通って北方を迂回し大釜の竹鼻で現国道に国道に合流することである。　「日向一里塚」は竹鼻から現国道を西に向かい中道の道路北側に一基残存している。南側の塚は取り壊されて跡形もない。塚の規模は東西径８ｍ、南北系８．５ｍ、高さ２ｍで、一基ながらよく原形をとどめている。　雫石街道の一里塚は、日向一里塚は、日向一里塚から４．６ｋｍ（４２町）の位置に「生森一里塚」２基（雫石町）、さらに４．２ｋｍをおいて「高前田一里塚」２基（雫石町）があり、昭和４４年に「雫石街道の一里塚」としてまとめて県史跡に指定された。この雫石街道の整備と一里塚の築造は江戸時代の前期で、慶長９年（１６０４年）以降寛永１７年（１６４０年）までの間と考えられているが、確実な年代は不明である。　雫石街道・秋田往来は、京・大阪から日本海・秋田湊経由で入ってくる物資の輸送路として、また、幕府、諸藩の馬買役人が仙北郡（秋田県）から国見峠を越え雫石経由で盛岡に入る道としても重要で、これらの一里塚は昔の街道往来の歴史を物語る史跡として重要である。
岩手山高山植物帯,〒020-0101　岩手県滝沢市観光,岩手山９合目〜頂上（２８ｈａ）が国の天然記念物に指定されている。
クラリー牧場,〒028-7113　岩手県八幡平市平笠2-6-299観光,初めての乗馬体験から本格乗馬体験まで楽しむことができる施設。
上坊牧野の一本桜,〒028-7113　岩手県八幡平市平笠観光,雄大な雪解けの岩手山をバッグに、望める一本桜。桜の品種は「カスミサクラ」で、一本桜の中でも人気が高い。
南部富士カントリークラブ,〒028-7111　岩手県八幡平市大更47-34-2観光,すべての基本情報を見る
焼走りキャンプ場,〒028-7113　岩手県八幡平市平笠24-728観光,焼走り熔岩流の末端近くのアカマツ林の中にあるキャンプ場。近くに溶岩流観察路もあり岩手山への登山基地にもなっている。
岩手山焼走り国際交流村,〒028-7113　岩手県八幡平市平笠24-728観光,日帰り温泉館（焼走りの湯）・キャンプ場（１，２００名）・キャビン２５棟・天文台・グランド・遊歩道・広場・オートキャンプ場（５０サイト）・スノーモービルランド（冬）
駅レンタカーいわて沼宮内営業所,〒028-4303　岩手県岩手郡岩手町観光,いわて沼宮内駅観光案内所「プラザあい」内
黒石温泉,〒028-4424　岩手県岩手郡岩手町一方井1-43-247観光,木造の古風な佇まいの温泉。ナトリウム・塩化物泉の泉質である黒石温泉は、神経痛、筋肉痛、関節痛、五十肩、運動麻痺、うちみ、冷え性、疲労回復などに効果があります。
岩手広域交流センター・プラザあい,〒028-4303　岩手県岩手郡岩手町大字江刈内6-1-4観光,北岩手の広域的視点から、観光・文化・情報発信施設としての機能を持ち合わせた新たな複合施設。文化を継承発展させる空間構成につとめ、県内外の訪問者に潤いを与えられるよう心掛けています。
ローズランドカントリークラブ,〒028-4421　岩手県岩手郡岩手町大字一方井1-120-1観光,すべての基本情報を見る
御堂観音堂（天台宗北上山新通法寺正覚院）,〒028-4306　岩手県岩手郡岩手町御堂3-9観光,大同2年（807年）坂上田村麻呂の草設、一族了慶の開基と云われ、また八幡太郎義家が前九年の合戦の際、御堂を建て千手観音を祀ったところと云われている。宝暦8年（1758年）堂が焼失すると、ときの南部藩主利雄公が宝暦13年堂宇の復元をしたと棟札に記されている。現在の堂は昭和43年焼失、同45年再興のものである。また境内には、北土川の源泉も（弓弭（ゆはず）の泉）がある。
今松竪穴住居跡,〒028-4421　岩手県岩手郡岩手町一方井今松観光,奈良時代末期の住居跡。すでに米を主食とし、鉄器を使用していたことがわかったほか、住居跡から多くの副葬品が発掘された。岩手県指定史跡。
浮島古墳群,〒028-4395　岩手県岩手郡岩手町浮島観光,奈良時代後期から平安時代初期に造られた土饅頭式の小円墳群。円型船底古墳で、屈葬形式の土葬墳である。発掘調査の結果、直刀、ヤスリなどの鉄器、ガラス玉、丸玉などの副葬品が出土した、岩手県指定史跡。
